"arvl_dt","booking_window_range","rm_nt_cn","gst_cn","gst_cn_2","delta_tkt_cn"
"2015-03-01","40+","23092","70984","13922","0"
"2015-03-02","40+","12231","36659","7942","0"
"2015-03-03","40+","10126","29883","6201","0"
"2015-03-04","40+","11780","35853","7899","0"
"2015-03-05","40+","9574","29947","7317","0"
"2015-03-06","40+","13496","45108","10206","0"
"2015-03-07","40+","25183","86538","16558","0"
"2015-03-08","40+","21217","68639","14120","0"
"2015-03-09","40+","13898","42750","9779","0"
"2015-03-10","40+","9434","29784","6596","0"
"2015-03-11","40+","12117","38442","8511","0"
"2015-03-12","40+","13883","44653","10464","0"
"2015-03-13","40+","15657","53242","12192","0"
"2015-03-14","40+","28584","98460","18638","0"
"2015-03-15","40+","24346","81795","16948","0"
"2015-03-16","40+","15731","50742","11810","0"
"2015-03-17","40+","10823","33973","7829","0"
"2015-03-18","40+","12530","41162","9522","0"
"2015-03-19","40+","11980","39644","9423","0"
"2015-03-20","40+","16590","55384","12771","0"
"2015-03-21","40+","27254","92035","17855","0"
"2015-03-22","40+","25637","82036","17301","0"
"2015-03-23","40+","14649","48601","11313","0"
"2015-03-24","40+","11897","38829","8347","0"
"2015-03-25","40+","12153","39622","9216","0"
"2015-03-26","40+","14508","48973","11596","0"
"2015-03-27","40+","19390","69145","14939","0"
"2015-03-28","40+","34461","123786","23504","0"
"2015-03-29","40+","26124","90173","19464","0"
"2015-03-30","40+","15948","54838","12887","0"
"2015-03-31","40+","11732","41713","8933","0"
"2015-04-01","40+","15178","55736","11862","0"
"2015-04-02","40+","16089","59101","12432","0"
"2015-04-03","40+","22105","80722","15937","0"
"2015-04-04","40+","29411","108541","19619","0"
"2015-04-05","40+","21044","75768","15569","0"
"2015-04-06","40+","22368","79028","18271","0"
"2015-04-07","40+","12515","42472","10102","0"
"2015-04-08","40+","11504","37442","9400","0"
"2015-04-09","40+","11581","38054","9114","0"
"2015-04-10","40+","13079","42522","10548","0"
"2015-04-11","40+","20145","65224","13031","0"
"2015-04-12","40+","25063","77582","15345","0"
"2015-04-13","40+","14592","44750","9540","0"
"2015-04-14","40+","12722","39476","7773","0"
"2015-04-15","40+","16056","51262","10564","0"
"2015-04-16","40+","16439","51810","12001","0"
"2015-04-17","40+","18914","59983","13593","0"
"2015-04-18","40+","29264","92300","17359","0"
"2015-04-19","40+","24466","74366","15099","0"
"2015-04-20","40+","15444","47262","10063","0"
"2015-04-21","40+","12741","38778","7824","0"
"2015-04-22","40+","15154","45783","10084","0"
"2015-04-23","40+","13389","41933","9310","0"
"2015-04-24","40+","15921","50792","12327","0"
"2015-04-25","40+","25873","83395","15662","0"
"2015-04-26","40+","21702","66999","13480","0"
"2015-04-27","40+","12907","38635","8168","0"
"2015-04-28","40+","11663","35274","7036","0"
"2015-04-29","40+","13223","41637","8647","0"
"2015-04-30","40+","15558","50095","10944","0"
"2015-05-01","40+","20358","64033","14838","0"
"2015-05-02","40+","29298","93177","17181","0"
"2015-05-03","40+","25751","79145","15317","0"
"2015-05-04","40+","17602","52267","10676","0"
"2015-05-05","40+","14763","42943","8181","0"
"2015-05-06","40+","15359","47088","9575","0"
"2015-05-07","40+","14375","43888","9970","0"
"2015-05-08","40+","18550","58188","13560","0"
"2015-05-09","40+","27079","86853","16223","0"
"2015-05-10","40+","23638","73931","14356","0"
"2015-05-11","40+","17267","50862","10323","0"
"2015-05-12","40+","14405","42840","8605","0"
"2015-05-13","40+","16196","48670","10206","0"
"2015-05-14","40+","17218","53853","11951","0"
"2015-05-15","40+","19308","61765","14225","0"
"2015-05-16","40+","27796","90867","16410","0"
"2015-05-17","40+","25425","80201","15479","0"
"2015-05-18","40+","16005","49230","9993","0"
"2015-05-19","40+","11087","34371","6739","0"
"2015-05-20","40+","16953","54526","10701","0"
"2015-05-21","40+","20481","67075","14927","0"
"2015-05-22","40+","23255","79899","18835","0"
"2015-05-23","40+","30850","108365","20785","0"
"2015-05-24","40+","23880","83593","15645","0"
"2015-05-25","40+","20917","70625","14771","0"
"2015-05-26","40+","14401","48215","9929","0"
"2015-05-27","40+","12149","41070","8573","0"
"2015-05-28","40+","13045","43953","9903","0"
"2015-05-29","40+","16813","57772","13609","0"
"2015-05-30","40+","24534","88129","16223","0"
"2015-05-31","40+","21696","77032","14982","0"
"2015-06-01","40+","17715","60632","12557","0"
"2015-06-02","40+","11293","37491","7490","0"
"2015-06-03","40+","12335","41638","8726","0"
"2015-06-04","40+","13733","47009","10087","0"
"2015-06-05","40+","18374","65308","14293","0"
"2015-06-06","40+","30531","109315","19713","0"
"2015-06-07","40+","30550","110483","21047","0"
"2015-06-08","40+","22358","78830","16281","0"
"2015-06-09","40+","15333","52861","10400","0"
"2015-06-10","40+","15010","51935","10521","0"
"2015-06-11","40+","14201","48869","10368","0"
"2015-06-12","40+","16050","56565","12372","0"
"2015-06-13","40+","27247","98337","17998","0"
"2015-06-14","40+","24587","89066","17752","0"
"2015-06-15","40+","16513","57211","11994","0"
"2015-06-16","40+","17866","59337","12211","0"
"2015-06-17","40+","13935","48295","9778","0"
"2015-06-18","40+","12785","44327","9754","0"
"2015-06-19","40+","14018","49427","10651","0"
"2015-06-20","40+","25997","94356","16557","0"
"2015-06-21","40+","26167","93021","17637","0"
"2015-06-22","40+","19894","69453","14247","0"
"2015-06-23","40+","15483","53039","10400","0"
"2015-06-24","40+","14380","47348","9552","0"
"2015-06-25","40+","13217","44595","9361","0"
"2015-06-26","40+","16412","59014","11633","0"
"2015-06-27","40+","25541","91027","16104","0"
"2015-06-28","40+","23014","82900","15938","0"
"2015-06-29","40+","14543","51814","9912","0"
"2015-06-30","40+","11797","41462","7932","0"
"2015-07-01","40+","14170","50670","9571","0"
"2015-07-02","40+","13887","48953","10299","0"
"2015-07-03","40+","16327","58457","12460","0"
"2015-07-04","40+","15238","53929","9897","0"
"2015-07-05","40+","17524","63780","11877","0"
"2015-07-06","40+","17242","61060","11441","0"
"2015-07-07","40+","13829","48542","8905","0"
"2015-07-08","40+","13306","46589","8665","0"
"2015-07-09","40+","12821","44636","8661","0"
"2015-07-10","40+","15517","53669","9969","0"
"2015-07-11","40+","23979","85266","13903","0"
"2015-07-12","40+","22567","81371","15039","0"
"2015-07-13","40+","17062","60177","11609","0"
"2015-07-14","40+","13462","46806","8681","0"
"2015-07-15","40+","12705","44634","8514","0"
"2015-07-16","40+","10938","37917","7542","0"
"2015-07-17","40+","14890","53512","10177","0"
"2015-07-18","40+","22345","80895","13737","0"
"2015-07-19","40+","22674","82025","15008","0"
"2015-07-20","40+","16965","59887","11175","0"
"2015-07-21","40+","15087","51528","9042","0"
"2015-07-22","40+","13474","47796","8528","0"
"2015-07-23","40+","13590","47754","9073","0"
"2015-07-24","40+","15713","56567","10843","0"
"2015-07-25","40+","21099","76740","13192","0"
"2015-07-26","40+","19798","71006","13194","0"
"2015-07-27","40+","14841","52735","10292","0"
"2015-07-28","40+","11876","42931","7745","0"
"2015-07-29","40+","12206","43456","8055","0"
"2015-07-30","40+","11199","39452","7376","0"
"2015-07-31","40+","13285","46933","9475","0"
"2015-08-01","40+","23556","85816","14719","0"
"2015-08-02","40+","21579","78813","14105","0"
"2015-08-03","40+","16561","59034","10899","0"
"2015-08-04","40+","14108","49277","8433","0"
"2015-08-05","40+","13686","48957","8400","0"
"2015-08-06","40+","11714","41259","7732","0"
"2015-08-07","40+","13831","49362","9546","0"
"2015-08-08","40+","20207","71244","12301","0"
"2015-08-09","40+","18050","65210","12134","0"
"2015-08-10","40+","15169","52541","10020","0"
"2015-08-11","40+","13565","47530","8089","0"
"2015-08-12","40+","13320","46600","8225","0"
"2015-08-13","40+","13592","47104","8463","0"
"2015-08-14","40+","16202","57615","11418","0"
"2015-08-15","40+","29162","103282","17157","0"
"2015-08-16","40+","28587","100278","17700","0"
"2015-08-17","40+","20426","71057","12860","0"
"2015-08-18","40+","18635","63901","10540","0"
"2015-08-19","40+","16546","56607","9770","0"
"2015-08-20","40+","18280","61708","10277","0"
"2015-08-21","40+","19249","64850","11795","0"
"2015-08-22","40+","23626","82602","14205","0"
"2015-08-23","40+","19896","69435","12426","0"
"2015-08-24","40+","15692","53055","10079","0"
"2015-08-25","40+","12565","42770","7544","0"
"2015-08-26","40+","10105","33417","6499","0"
"2015-08-27","40+","9140","29964","6568","0"
"2015-08-28","40+","24057","80894","14890","0"
"2015-08-29","40+","20178","66236","11387","0"
"2015-08-30","40+","16999","56107","9988","0"
"2015-08-31","40+","11359","35798","6356","0"
"2015-09-01","40+","12023","37448","6201","0"
"2015-09-02","40+","13611","42226","7575","0"
"2015-09-03","40+","17180","54620","10470","0"
"2015-09-04","40+","23376","76479","18006","0"
"2015-09-05","40+","29664","93866","18099","0"
"2015-09-06","40+","22818","70817","12781","0"
"2015-09-07","40+","16425","48619","8942","0"
"2015-09-08","40+","16768","47221","8197","0"
"2015-09-09","40+","15532","45175","7996","0"
"2015-09-10","40+","19596","59273","11257","0"
"2015-09-11","40+","22431","71606","15748","0"
"2015-09-12","40+","37668","117156","19535","0"
"2015-09-13","40+","30030","92028","16427","0"
"2015-09-14","40+","17695","51467","9297","0"
"2015-09-15","40+","14808","43109","7605","0"
"2015-09-16","40+","16405","48517","9071","0"
"2015-09-17","40+","17614","53447","10590","0"
"2015-09-18","40+","24424","77112","15461","0"
"2015-09-19","40+","39917","129360","22029","0"
"2015-09-20","40+","29757","92516","17134","0"
"2015-09-21","40+","18511","51763","10271","0"
"2015-09-22","40+","16010","49870","9105","0"
"2015-09-23","40+","16710","52577","10275","0"
"2015-09-24","40+","18577","57032","11973","0"
"2015-09-25","40+","23940","74087","16106","0"
"2015-09-26","40+","35862","114709","20446","0"
"2015-09-27","40+","27361","83926","15984","0"
"2015-09-28","40+","15544","45182","9007","0"
"2015-09-29","40+","12334","36201","7007","0"
"2015-09-30","40+","16172","49776","10257","0"
"2015-10-01","40+","21089","66016","13583","0"
"2015-10-02","40+","29814","100105","18996","0"
"2015-10-03","40+","29654","98114","17732","0"
"2015-10-04","40+","25488","82252","16193","0"
"2015-10-05","40+","13916","41765","8577","0"
"2015-10-06","40+","12416","36509","7200","0"
"2015-10-07","40+","17092","53840","10868","0"
"2015-10-08","40+","22657","73500","16185","0"
"2015-10-09","40+","25532","83184","18844","0"
"2015-10-10","40+","38968","126021","22881","0"
"2015-10-11","40+","28872","93241","17604","0"
"2015-10-12","40+","20071","60981","12796","0"
"2015-10-13","40+","17620","53439","10361","0"
"2015-10-14","40+","20151","62558","13013","0"
"2015-10-15","40+","19683","62476","13556","0"
"2015-10-16","40+","24142","76145","17079","0"
"2015-10-17","40+","38265","123423","21978","0"
"2015-10-18","40+","30712","93505","18190","0"
"2015-10-19","40+","17095","49179","10159","0"
"2015-10-20","40+","14898","44779","8773","0"
"2015-10-21","40+","17923","55367","11594","0"
"2015-10-22","40+","19158","60459","14229","0"
"2015-10-23","40+","19399","61302","16655","0"
"2015-10-24","40+","24235","75979","17969","0"
"2015-10-25","40+","50114","159202","28798","0"
"2015-10-26","40+","19480","58689","11212","0"
"2015-10-27","40+","17310","52371","9733","0"
"2015-10-28","40+","20801","64182","12666","0"
"2015-10-29","40+","20326","66096","14290","0"
"2015-10-30","40+","26174","86099","18139","0"
"2015-10-31","40+","30962","100627","18559","0"
"2015-11-01","40+","28309","84984","17463","0"
"2015-11-02","40+","14741","43146","9168","0"
"2015-11-03","40+","13603","41719","8670","0"
"2015-11-04","40+","18026","54957","12159","0"
"2015-11-05","40+","21094","61344","15067","0"
"2015-11-06","40+","22584","66397","19144","0"
"2015-11-07","40+","22646","71019","17888","0"
"2015-11-08","40+","49622","158560","28553","0"
"2015-11-09","40+","23865","70188","14378","0"
"2015-11-10","40+","18575","58079","11392","0"
"2015-11-11","40+","21180","67793","14040","0"
"2015-11-12","40+","17758","55009","11761","0"
"2015-11-13","40+","20847","67914","14999","0"
"2015-11-14","40+","35499","116408","21087","0"
"2015-11-15","40+","32894","102373","20631","0"
"2015-11-16","40+","14949","43548","9625","0"
"2015-11-17","40+","11989","35495","7991","0"
"2015-11-18","40+","15817","52481","10828","0"
"2015-11-19","40+","26874","94881","17379","0"
"2015-11-20","40+","19647","69257","15619","0"
"2015-11-21","40+","34503","125345","24477","0"
"2015-11-22","40+","24645","86501","18504","0"
"2015-11-23","40+","13582","47065","10826","0"
"2015-11-24","40+","16455","56171","12639","0"
"2015-11-25","40+","18097","61218","15110","0"
"2015-11-26","40+","14354","46192","10750","0"
"2015-11-27","40+","18867","61834","14568","0"
"2015-11-28","40+","30655","99801","19647","0"
"2015-11-29","40+","27416","85090","17557","0"
"2015-11-30","40+","18594","54500","11456","0"
"2015-12-01","40+","19925","59299","12043","0"
"2015-12-02","40+","20317","61850","13373","0"
"2015-12-03","40+","20498","63152","15400","0"
"2015-12-04","40+","19553","61746","16542","0"
"2015-12-05","40+","30338","95328","18198","0"
"2015-12-06","40+","28448","85820","17611","0"
"2015-12-07","40+","16685","48685","10808","0"
"2015-12-08","40+","12402","36669","8309","0"
"2015-12-09","40+","13273","40115","9254","0"
"2015-12-10","40+","16168","50259","13105","0"
"2015-12-11","40+","18497","57544","17624","0"
"2015-12-12","40+","22081","69936","16020","0"
"2015-12-13","40+","23436","73066","16023","0"
"2015-12-14","40+","11912","35971","9220","0"
"2015-12-15","40+","32088","108679","19914","0"
"2015-12-16","40+","16901","58222","11807","0"
"2015-12-17","40+","18051","63694","13693","0"
"2015-12-18","40+","23833","84744","19468","0"
"2015-12-19","40+","30168","108407","20898","0"
"2015-12-20","40+","23967","85208","16063","0"
"2015-12-21","40+","21939","77693","14445","0"
"2015-12-22","40+","14011","49262","9790","0"
"2015-12-23","40+","20515","70273","14507","0"
"2015-12-24","40+","16727","57802","12889","0"
"2015-12-25","40+","14865","52272","10807","0"
"2015-12-26","40+","31359","110159","21709","0"
"2015-12-27","40+","31481","112064","23105","0"
"2015-12-28","40+","20869","71864","16238","0"
"2015-12-29","40+","16021","54325","12579","0"
"2015-12-30","40+","16908","56891","14102","0"
"2015-12-31","40+","11035","37735","11684","0"
"2016-01-01","40+","13201","43788","9821","0"
"2016-01-02","40+","26065","87636","18161","0"
"2016-01-03","40+","26718","84545","17245","0"
"2016-01-04","40+","15542","45350","9411","0"
"2016-01-05","40+","17767","51029","9206","0"
"2016-01-06","40+","25046","71953","14926","0"
"2016-01-07","40+","15555","44695","10068","0"
"2016-01-08","40+","18602","54755","15032","0"
"2016-01-09","40+","17209","52433","11327","0"
"2016-01-10","40+","20122","58718","11721","0"
"2016-01-11","40+","17203","49208","10561","0"
"2016-01-12","40+","10798","32351","6294","0"
"2016-01-13","40+","13198","42492","8613","0"
"2016-01-14","40+","16376","52140","11696","0"
"2016-01-15","40+","18788","59710","15417","0"
"2016-01-16","40+","21904","72413","15009","0"
"2016-01-17","40+","22211","62252","12482","0"
"2016-01-18","40+","17574","52426","10412","0"
"2016-01-19","40+","11908","35450","6571","0"
"2016-01-20","40+","14094","43665","8686","0"
"2016-01-21","40+","16712","51012","11597","0"
"2016-01-22","40+","16405","51838","12032","0"
"2016-01-23","40+","24088","76608","14122","0"
"2016-01-24","40+","20219","60495","11815","0"
"2016-01-25","40+","13926","40779","8327","0"
"2016-01-26","40+","12474","35688","7000","0"
"2016-01-27","40+","14201","43607","9035","0"
"2016-01-28","40+","13236","40861","9366","0"
"2016-01-29","40+","14538","46548","10963","0"
"2016-01-30","40+","24718","80137","15001","0"
"2016-01-31","40+","23098","70451","14194","0"
"2016-02-01","40+","14593","41667","8578","0"
"2016-02-02","40+","13522","35455","7329","0"
"2016-02-03","40+","11781","35922","8032","0"
"2016-02-04","40+","11385","37394","8555","0"
"2016-02-05","40+","15332","51587","11911","0"
"2016-02-06","40+","24908","86727","16137","0"
"2016-02-07","40+","16611","54937","11017","0"
"2016-02-08","40+","14140","44494","9477","0"
"2016-02-09","40+","11462","35779","7534","0"
"2016-02-10","40+","14428","48701","10179","0"
"2016-02-11","40+","18991","63523","13490","0"
"2016-02-12","40+","17625","59893","14157","0"
"2016-02-13","40+","23176","78720","15486","0"
"2016-02-14","40+","18950","60385","12922","0"
"2016-02-15","40+","14626","47890","11189","0"
"2016-02-16","40+","10863","34022","7604","0"
"2016-02-17","40+","17042","49405","11071","0"
"2016-02-18","40+","23063","69154","17518","0"
"2016-02-19","40+","19288","57941","15951","0"
"2016-02-20","40+","21993","70274","15064","0"
"2016-02-21","40+","23891","72731","14800","0"
"2016-02-22","40+","17962","53672","11477","0"
"2016-02-23","40+","13740","41225","8484","0"
"2016-02-24","40+","14623","45130","10160","0"
"2016-02-25","40+","15356","47211","11483","0"
"2016-02-26","40+","15472","49105","11841","0"
"2016-02-27","40+","26129","80261","15533","0"
"2016-02-28","40+","22092","67331","13698","0"
"2016-02-29","40+","11949","34797","7564","0"
"2016-03-01","40+","13306","38506","7931","0"
"2016-03-02","40+","13837","40330","9159","0"
"2016-03-03","40+","13786","40469","10351","0"
"2016-03-04","40+","15463","45961","11252","0"
"2016-03-05","40+","22170","71690","14093","0"
"2016-03-06","40+","19331","59921","12420","0"
"2016-03-07","40+","12539","36950","8501","0"
"2016-03-08","40+","10541","30266","6792","0"
"2016-03-09","40+","12457","37084","8553","0"
"2016-03-10","40+","11885","39328","9176","0"
"2016-03-11","40+","16889","57804","13735","0"
"2016-03-12","40+","31404","107728","20369","0"
"2016-03-13","40+","25801","85922","18062","0"
"2016-03-14","40+","15428","50197","11916","0"
"2016-03-15","40+","11970","39096","8691","0"
"2016-03-16","40+","14774","48209","11335","0"
"2016-03-17","40+","13351","44924","10783","0"
"2016-03-18","40+","17840","61615","13584","0"
"2016-03-19","40+","33831","117799","22716","0"
"2016-03-20","40+","27340","92938","19722","0"
"2016-03-21","40+","17697","59407","14096","0"
"2016-03-22","40+","12801","44943","10177","0"
"2016-03-23","40+","16954","60820","13353","0"
"2016-03-24","40+","18547","66449","14443","0"
"2016-03-25","40+","24824","90847","17777","0"
"2016-03-26","40+","31290","113677","21028","0"
"2016-03-27","40+","22443","80509","16289","0"
"2016-03-28","40+","24505","84083","18938","0"
"2016-03-29","40+","15866","53309","12515","0"
"2016-03-30","40+","13595","43601","10491","0"
"2016-03-31","40+","11370","37891","9369","0"
"2016-04-01","40+","17713","61129","13058","0"
"2016-04-02","40+","32368","111964","21059","0"
"2016-04-03","40+","37095","123601","23882","0"
"2016-04-04","40+","20471","64665","13910","0"
"2016-04-05","40+","14772","47265","9407","0"
"2016-04-06","40+","15666","49610","10781","0"
"2016-04-07","40+","14644","46673","11428","0"
"2016-04-08","40+","17034","54335","13036","0"
"2016-04-09","40+","30742","93745","18133","0"
"2016-04-10","40+","23555","70833","15107","0"
"2016-04-11","40+","14158","43641","9509","0"
"2016-04-12","40+","12233","37619","7834","0"
"2016-04-13","40+","19253","58728","12570","0"
"2016-04-14","40+","23546","71853","17676","0"
"2016-04-15","40+","23964","74492","19203","0"
"2016-04-16","40+","26973","88929","18243","0"
"2016-04-17","40+","27644","85792","17874","0"
"2016-04-18","40+","17797","55143","12263","0"
"2016-04-19","40+","14285","43358","9132","0"
"2016-04-20","40+","15760","50675","10796","0"
"2016-04-21","40+","15710","50950","11478","0"
"2016-04-22","40+","18352","60942","14240","0"
"2016-04-23","40+","29997","99530","19217","0"
"2016-04-24","40+","23199","76822","15995","0"
"2016-04-25","40+","13708","43090","9840","0"
"2016-04-26","40+","12199","37822","8073","0"
"2016-04-27","40+","12858","39846","8941","0"
"2016-04-28","40+","11660","37934","8909","0"
"2016-04-29","40+","16114","51863","13083","0"
"2016-04-30","40+","24320","76402","14561","0"
"2016-05-01","40+","27968","80642","15700","0"
"2016-05-02","40+","20335","58132","12285","0"
"2016-05-03","40+","16501","46969","9009","0"
"2016-05-04","40+","17354","52458","10714","0"
"2016-05-05","40+","15793","47888","10693","0"
"2016-05-06","40+","18638","56509","13174","0"
"2016-05-07","40+","28164","87409","15990","0"
"2016-05-08","40+","24459","74734","14586","0"
"2016-05-09","40+","16238","47580","9804","0"
"2016-05-10","40+","14869","41949","8094","0"
"2016-05-11","40+","15847","46998","9714","0"
"2016-05-12","40+","14140","43044","9454","0"
"2016-05-13","40+","17032","53356","12852","0"
"2016-05-14","40+","27748","87625","16490","0"
"2016-05-15","40+","26488","79456","15556","0"
"2016-05-16","40+","17383","52134","10507","0"
"2016-05-17","40+","14890","44187","8463","0"
"2016-05-18","40+","15890","50274","9967","0"
"2016-05-19","40+","15655","49707","10480","0"
"2016-05-20","40+","20720","68011","14149","0"
"2016-05-21","40+","34352","116474","20919","0"
"2016-05-22","40+","29057","98126","18987","0"
"2016-05-23","40+","18030","57433","12205","0"
"2016-05-24","40+","12814","43586","8664","0"
"2016-05-25","40+","16904","56979","11231","0"
"2016-05-26","40+","19410","66402","14277","0"
