"dining_usg_dt","booking_window_range","park_area_nm","nb_dining_gst"
"2014-10-06","60+","Destination","125"
"2014-10-06","60+","Disney Springs","1547"
"2014-10-06","60+","Disney's Animal Kingdom Theme Park","2439"
"2014-10-06","60+","Disney's Animal Kingdom Theme Park Resort Area","754"
"2014-10-06","60+","Disney's BoardWalk","149"
"2014-10-06","60+","Disney's Hollywood Studios","5131"
"2014-10-06","60+","Downtown Disney Resort Area","91"
"2014-10-06","60+","Epcot","6732"
"2014-10-06","60+","Epcot Resort Area","1568"
"2014-10-06","60+","Magic Kingdom Park","6017"
"2014-10-06","60+","Magic Kingdom Resort Area","7168"
"2014-10-07","60+","Destination","124"
"2014-10-07","60+","Disney Springs","1949"
"2014-10-07","60+","Disney's Animal Kingdom Theme Park","2387"
"2014-10-07","60+","Disney's Animal Kingdom Theme Park Resort Area","660"
"2014-10-07","60+","Disney's BoardWalk","141"
"2014-10-07","60+","Disney's Hollywood Studios","3358"
"2014-10-07","60+","Downtown Disney Resort Area","132"
"2014-10-07","60+","Epcot","6461"
"2014-10-07","60+","Epcot Resort Area","1513"
"2014-10-07","60+","Magic Kingdom Park","5425"
"2014-10-07","60+","Magic Kingdom Resort Area","7626"
"2014-10-08","60+","Destination","168"
"2014-10-08","60+","Disney Springs","1639"
"2014-10-08","60+","Disney's Animal Kingdom Theme Park","1981"
"2014-10-08","60+","Disney's Animal Kingdom Theme Park Resort Area","646"
"2014-10-08","60+","Disney's BoardWalk","209"
"2014-10-08","60+","Disney's Hollywood Studios","4892"
"2014-10-08","60+","Downtown Disney Resort Area","37"
"2014-10-08","60+","Epcot","7243"
"2014-10-08","60+","Epcot Resort Area","1457"
"2014-10-08","60+","Magic Kingdom Park","5451"
"2014-10-08","60+","Magic Kingdom Resort Area","7019"
"2014-10-09","60+","Destination","162"
"2014-10-09","60+","Disney Springs","1822"
"2014-10-09","60+","Disney's Animal Kingdom Theme Park","1916"
"2014-10-09","60+","Disney's Animal Kingdom Theme Park Resort Area","705"
"2014-10-09","60+","Disney's BoardWalk","146"
"2014-10-09","60+","Disney's Hollywood Studios","4286"
"2014-10-09","60+","Downtown Disney Resort Area","62"
"2014-10-09","60+","Epcot","6047"
"2014-10-09","60+","Epcot Resort Area","1052"
"2014-10-09","60+","Magic Kingdom Park","4425"
"2014-10-09","60+","Magic Kingdom Resort Area","7640"
"2014-10-10","60+","Destination","249"
"2014-10-10","60+","Disney Springs","1869"
"2014-10-10","60+","Disney's Animal Kingdom Theme Park","2211"
"2014-10-10","60+","Disney's Animal Kingdom Theme Park Resort Area","730"
"2014-10-10","60+","Disney's BoardWalk","152"
"2014-10-10","60+","Disney's Hollywood Studios","4429"
"2014-10-10","60+","Downtown Disney Resort Area","72"
"2014-10-10","60+","Epcot","6832"
"2014-10-10","60+","Epcot Resort Area","1282"
"2014-10-10","60+","Magic Kingdom Park","4431"
"2014-10-10","60+","Magic Kingdom Resort Area","7546"
"2014-10-11","60+","Destination","222"
"2014-10-11","60+","Disney Springs","2183"
"2014-10-11","60+","Disney's Animal Kingdom Theme Park","1879"
"2014-10-11","60+","Disney's Animal Kingdom Theme Park Resort Area","874"
"2014-10-11","60+","Disney's BoardWalk","196"
"2014-10-11","60+","Disney's Hollywood Studios","4686"
"2014-10-11","60+","Downtown Disney Resort Area","103"
"2014-10-11","60+","Epcot","7243"
"2014-10-11","60+","Epcot Resort Area","1275"
"2014-10-11","60+","Magic Kingdom Park","5573"
"2014-10-11","60+","Magic Kingdom Resort Area","8135"
"2014-10-12","60+","Destination","273"
"2014-10-12","60+","Disney Springs","1973"
"2014-10-12","60+","Disney's Animal Kingdom Theme Park","2349"
"2014-10-12","60+","Disney's Animal Kingdom Theme Park Resort Area","955"
"2014-10-12","60+","Disney's BoardWalk","123"
"2014-10-12","60+","Disney's Hollywood Studios","4708"
"2014-10-12","60+","Downtown Disney Resort Area","159"
"2014-10-12","60+","Epcot","6906"
"2014-10-12","60+","Epcot Resort Area","1253"
"2014-10-12","60+","Magic Kingdom Park","6178"
"2014-10-12","60+","Magic Kingdom Resort Area","7693"
"2014-10-13","60+","Destination","149"
"2014-10-13","60+","Disney Springs","1647"
"2014-10-13","60+","Disney's Animal Kingdom Theme Park","2564"
"2014-10-13","60+","Disney's Animal Kingdom Theme Park Resort Area","765"
"2014-10-13","60+","Disney's BoardWalk","34"
"2014-10-13","60+","Disney's Hollywood Studios","5363"
"2014-10-13","60+","Downtown Disney Resort Area","89"
"2014-10-13","60+","Epcot","6656"
"2014-10-13","60+","Epcot Resort Area","1267"
"2014-10-13","60+","Magic Kingdom Park","4555"
"2014-10-13","60+","Magic Kingdom Resort Area","7187"
"2014-10-14","60+","Destination","147"
"2014-10-14","60+","Disney Springs","1588"
"2014-10-14","60+","Disney's Animal Kingdom Theme Park","2290"
"2014-10-14","60+","Disney's Animal Kingdom Theme Park Resort Area","820"
"2014-10-14","60+","Disney's BoardWalk","67"
"2014-10-14","60+","Disney's Hollywood Studios","4688"
"2014-10-14","60+","Downtown Disney Resort Area","109"
"2014-10-14","60+","Epcot","6648"
"2014-10-14","60+","Epcot Resort Area","1159"
"2014-10-14","60+","Magic Kingdom Park","5679"
"2014-10-14","60+","Magic Kingdom Resort Area","7567"
"2014-10-15","60+","Destination","133"
"2014-10-15","60+","Disney Springs","1723"
"2014-10-15","60+","Disney's Animal Kingdom Theme Park","2262"
"2014-10-15","60+","Disney's Animal Kingdom Theme Park Resort Area","748"
"2014-10-15","60+","Disney's BoardWalk","91"
"2014-10-15","60+","Disney's Hollywood Studios","4667"
"2014-10-15","60+","Downtown Disney Resort Area","117"
"2014-10-15","60+","Epcot","7552"
"2014-10-15","60+","Epcot Resort Area","1271"
"2014-10-15","60+","Magic Kingdom Park","5552"
"2014-10-15","60+","Magic Kingdom Resort Area","7562"
"2014-10-16","60+","Destination","174"
"2014-10-16","60+","Disney Springs","1872"
"2014-10-16","60+","Disney's Animal Kingdom Theme Park","2106"
"2014-10-16","60+","Disney's Animal Kingdom Theme Park Resort Area","749"
"2014-10-16","60+","Disney's BoardWalk","183"
"2014-10-16","60+","Disney's Hollywood Studios","3550"
"2014-10-16","60+","Downtown Disney Resort Area","81"
"2014-10-16","60+","Epcot","6449"
"2014-10-16","60+","Epcot Resort Area","1177"
"2014-10-16","60+","Magic Kingdom Park","4679"
"2014-10-16","60+","Magic Kingdom Resort Area","8123"
"2014-10-17","60+","Destination","177"
"2014-10-17","60+","Disney Springs","1896"
"2014-10-17","60+","Disney's Animal Kingdom Theme Park","2313"
"2014-10-17","60+","Disney's Animal Kingdom Theme Park Resort Area","829"
"2014-10-17","60+","Disney's BoardWalk","150"
"2014-10-17","60+","Disney's Hollywood Studios","4402"
"2014-10-17","60+","Downtown Disney Resort Area","80"
"2014-10-17","60+","Epcot","7038"
"2014-10-17","60+","Epcot Resort Area","1294"
"2014-10-17","60+","Magic Kingdom Park","4141"
"2014-10-17","60+","Magic Kingdom Resort Area","7558"
"2014-10-18","60+","Destination","179"
"2014-10-18","60+","Disney Springs","2085"
"2014-10-18","60+","Disney's Animal Kingdom Theme Park","1913"
"2014-10-18","60+","Disney's Animal Kingdom Theme Park Resort Area","1058"
"2014-10-18","60+","Disney's BoardWalk","97"
"2014-10-18","60+","Disney's Hollywood Studios","3875"
"2014-10-18","60+","Downtown Disney Resort Area","111"
"2014-10-18","60+","Epcot","6568"
"2014-10-18","60+","Epcot Resort Area","1400"
"2014-10-18","60+","Magic Kingdom Park","5615"
"2014-10-18","60+","Magic Kingdom Resort Area","8008"
"2014-10-19","60+","Destination","314"
"2014-10-19","60+","Disney Springs","2023"
"2014-10-19","60+","Disney's Animal Kingdom Theme Park","2081"
"2014-10-19","60+","Disney's Animal Kingdom Theme Park Resort Area","1063"
"2014-10-19","60+","Disney's BoardWalk","157"
"2014-10-19","60+","Disney's Hollywood Studios","4924"
"2014-10-19","60+","Downtown Disney Resort Area","138"
"2014-10-19","60+","Epcot","6159"
"2014-10-19","60+","Epcot Resort Area","1348"
"2014-10-19","60+","Magic Kingdom Park","4319"
"2014-10-19","60+","Magic Kingdom Resort Area","7590"
"2014-10-20","60+","Destination","177"
"2014-10-20","60+","Disney Springs","1674"
"2014-10-20","60+","Disney's Animal Kingdom Theme Park","2428"
"2014-10-20","60+","Disney's Animal Kingdom Theme Park Resort Area","819"
"2014-10-20","60+","Disney's BoardWalk","61"
"2014-10-20","60+","Disney's Hollywood Studios","4793"
"2014-10-20","60+","Downtown Disney Resort Area","110"
"2014-10-20","60+","Epcot","6719"
"2014-10-20","60+","Epcot Resort Area","1323"
"2014-10-20","60+","Magic Kingdom Park","6277"
"2014-10-20","60+","Magic Kingdom Resort Area","7164"
"2014-10-21","60+","Destination","210"
"2014-10-21","60+","Disney Springs","1875"
"2014-10-21","60+","Disney's Animal Kingdom Theme Park","2096"
"2014-10-21","60+","Disney's Animal Kingdom Theme Park Resort Area","791"
"2014-10-21","60+","Disney's BoardWalk","115"
"2014-10-21","60+","Disney's Hollywood Studios","4647"
"2014-10-21","60+","Downtown Disney Resort Area","132"
"2014-10-21","60+","Epcot","6378"
"2014-10-21","60+","Epcot Resort Area","1160"
"2014-10-21","60+","Magic Kingdom Park","4348"
"2014-10-21","60+","Magic Kingdom Resort Area","7318"
"2014-10-22","60+","Destination","112"
"2014-10-22","60+","Disney Springs","1792"
"2014-10-22","60+","Disney's Animal Kingdom Theme Park","1954"
"2014-10-22","60+","Disney's Animal Kingdom Theme Park Resort Area","759"
"2014-10-22","60+","Disney's BoardWalk","184"
"2014-10-22","60+","Disney's Hollywood Studios","4592"
"2014-10-22","60+","Downtown Disney Resort Area","103"
"2014-10-22","60+","Epcot","7733"
"2014-10-22","60+","Epcot Resort Area","1348"
"2014-10-22","60+","Magic Kingdom Park","5348"
"2014-10-22","60+","Magic Kingdom Resort Area","7354"
"2014-10-23","60+","Destination","198"
"2014-10-23","60+","Disney Springs","1935"
"2014-10-23","60+","Disney's Animal Kingdom Theme Park","2269"
"2014-10-23","60+","Disney's Animal Kingdom Theme Park Resort Area","728"
"2014-10-23","60+","Disney's BoardWalk","152"
"2014-10-23","60+","Disney's Hollywood Studios","4414"
"2014-10-23","60+","Downtown Disney Resort Area","106"
"2014-10-23","60+","Epcot","6786"
"2014-10-23","60+","Epcot Resort Area","1273"
"2014-10-23","60+","Magic Kingdom Park","4148"
"2014-10-23","60+","Magic Kingdom Resort Area","7837"
"2014-10-24","60+","Destination","172"
"2014-10-24","60+","Disney Springs","1839"
"2014-10-24","60+","Disney's Animal Kingdom Theme Park","2405"
"2014-10-24","60+","Disney's Animal Kingdom Theme Park Resort Area","927"
"2014-10-24","60+","Disney's BoardWalk","141"
"2014-10-24","60+","Disney's Hollywood Studios","4015"
"2014-10-24","60+","Downtown Disney Resort Area","63"
"2014-10-24","60+","Epcot","7392"
"2014-10-24","60+","Epcot Resort Area","1333"
"2014-10-24","60+","Magic Kingdom Park","4370"
"2014-10-24","60+","Magic Kingdom Resort Area","7336"
"2014-10-25","60+","Destination","263"
"2014-10-25","60+","Disney Springs","1743"
"2014-10-25","60+","Disney's Animal Kingdom Theme Park","1890"
"2014-10-25","60+","Disney's Animal Kingdom Theme Park Resort Area","844"
"2014-10-25","60+","Disney's BoardWalk","87"
"2014-10-25","60+","Disney's Hollywood Studios","3794"
"2014-10-25","60+","Downtown Disney Resort Area","100"
"2014-10-25","60+","Epcot","6732"
"2014-10-25","60+","Epcot Resort Area","1010"
"2014-10-25","60+","Magic Kingdom Park","5316"
"2014-10-25","60+","Magic Kingdom Resort Area","7968"
"2014-10-26","60+","Destination","286"
"2014-10-26","60+","Disney Springs","2311"
"2014-10-26","60+","Disney's Animal Kingdom Theme Park","1877"
"2014-10-26","60+","Disney's Animal Kingdom Theme Park Resort Area","1032"
"2014-10-26","60+","Disney's BoardWalk","161"
"2014-10-26","60+","Disney's Hollywood Studios","4737"
"2014-10-26","60+","Downtown Disney Resort Area","149"
"2014-10-26","60+","Epcot","6093"
"2014-10-26","60+","Epcot Resort Area","1330"
"2014-10-26","60+","Magic Kingdom Park","4527"
"2014-10-26","60+","Magic Kingdom Resort Area","7316"
"2014-10-27","60+","Destination","129"
"2014-10-27","60+","Disney Springs","1816"
"2014-10-27","60+","Disney's Animal Kingdom Theme Park","2367"
"2014-10-27","60+","Disney's Animal Kingdom Theme Park Resort Area","858"
"2014-10-27","60+","Disney's BoardWalk","129"
"2014-10-27","60+","Disney's Hollywood Studios","4516"
"2014-10-27","60+","Downtown Disney Resort Area","101"
"2014-10-27","60+","Epcot","6810"
"2014-10-27","60+","Epcot Resort Area","1066"
"2014-10-27","60+","Magic Kingdom Park","6515"
"2014-10-27","60+","Magic Kingdom Resort Area","7079"
"2014-10-28","60+","Destination","137"
"2014-10-28","60+","Disney Springs","1971"
"2014-10-28","60+","Disney's Animal Kingdom Theme Park","2269"
"2014-10-28","60+","Disney's Animal Kingdom Theme Park Resort Area","866"
"2014-10-28","60+","Disney's BoardWalk","108"
"2014-10-28","60+","Disney's Hollywood Studios","4648"
"2014-10-28","60+","Downtown Disney Resort Area","66"
"2014-10-28","60+","Epcot","6803"
"2014-10-28","60+","Epcot Resort Area","1179"
"2014-10-28","60+","Magic Kingdom Park","4544"
"2014-10-28","60+","Magic Kingdom Resort Area","7434"
"2014-10-29","60+","Destination","194"
"2014-10-29","60+","Disney Springs","1948"
"2014-10-29","60+","Disney's Animal Kingdom Theme Park","2196"
"2014-10-29","60+","Disney's Animal Kingdom Theme Park Resort Area","847"
"2014-10-29","60+","Disney's BoardWalk","149"
"2014-10-29","60+","Disney's Hollywood Studios","4600"
"2014-10-29","60+","Downtown Disney Resort Area","93"
"2014-10-29","60+","Epcot","8488"
"2014-10-29","60+","Epcot Resort Area","1230"
"2014-10-29","60+","Magic Kingdom Park","5755"
"2014-10-29","60+","Magic Kingdom Resort Area","7582"
"2014-10-30","60+","Destination","166"
"2014-10-30","60+","Disney Springs","2335"
"2014-10-30","60+","Disney's Animal Kingdom Theme Park","2335"
"2014-10-30","60+","Disney's Animal Kingdom Theme Park Resort Area","924"
"2014-10-30","60+","Disney's BoardWalk","144"
"2014-10-30","60+","Disney's Hollywood Studios","4451"
"2014-10-30","60+","Downtown Disney Resort Area","135"
"2014-10-30","60+","Epcot","7691"
"2014-10-30","60+","Epcot Resort Area","1395"
"2014-10-30","60+","Magic Kingdom Park","4520"
"2014-10-30","60+","Magic Kingdom Resort Area","8440"
"2014-10-31","60+","Destination","205"
"2014-10-31","60+","Disney Springs","2205"
"2014-10-31","60+","Disney's Animal Kingdom Theme Park","2398"
"2014-10-31","60+","Disney's Animal Kingdom Theme Park Resort Area","935"
"2014-10-31","60+","Disney's BoardWalk","101"
"2014-10-31","60+","Disney's Hollywood Studios","4313"
"2014-10-31","60+","Downtown Disney Resort Area","74"
"2014-10-31","60+","Epcot","6528"
"2014-10-31","60+","Epcot Resort Area","1386"
"2014-10-31","60+","Magic Kingdom Park","5222"
"2014-10-31","60+","Magic Kingdom Resort Area","8354"
"2014-11-01","60+","Destination","359"
"2014-11-01","60+","Disney Springs","2486"
"2014-11-01","60+","Disney's Animal Kingdom Theme Park","2620"
"2014-11-01","60+","Disney's Animal Kingdom Theme Park Resort Area","1305"
"2014-11-01","60+","Disney's BoardWalk","193"
"2014-11-01","60+","Disney's Hollywood Studios","4665"
"2014-11-01","60+","Downtown Disney Resort Area","162"
"2014-11-01","60+","Epcot","8579"
"2014-11-01","60+","Epcot Resort Area","1514"
"2014-11-01","60+","Magic Kingdom Park","6118"
"2014-11-01","60+","Magic Kingdom Resort Area","9379"
"2014-11-02","60+","Destination","241"
"2014-11-02","60+","Disney Springs","2395"
"2014-11-02","60+","Disney's Animal Kingdom Theme Park","2690"
"2014-11-02","60+","Disney's Animal Kingdom Theme Park Resort Area","1163"
"2014-11-02","60+","Disney's BoardWalk","202"
"2014-11-02","60+","Disney's Hollywood Studios","5283"
"2014-11-02","60+","Downtown Disney Resort Area","102"
"2014-11-02","60+","Epcot","7725"
"2014-11-02","60+","Epcot Resort Area","1604"
"2014-11-02","60+","Magic Kingdom Park","6118"
"2014-11-02","60+","Magic Kingdom Resort Area","8556"
"2014-11-03","60+","Destination","268"
"2014-11-03","60+","Disney Springs","1938"
"2014-11-03","60+","Disney's Animal Kingdom Theme Park","2865"
"2014-11-03","60+","Disney's Animal Kingdom Theme Park Resort Area","1124"
"2014-11-03","60+","Disney's BoardWalk","128"
"2014-11-03","60+","Disney's Hollywood Studios","5111"
"2014-11-03","60+","Downtown Disney Resort Area","54"
"2014-11-03","60+","Epcot","8492"
"2014-11-03","60+","Epcot Resort Area","1553"
"2014-11-03","60+","Magic Kingdom Park","5865"
"2014-11-03","60+","Magic Kingdom Resort Area","8044"
"2014-11-04","60+","Destination","122"
"2014-11-04","60+","Disney Springs","1995"
"2014-11-04","60+","Disney's Animal Kingdom Theme Park","2597"
"2014-11-04","60+","Disney's Animal Kingdom Theme Park Resort Area","976"
"2014-11-04","60+","Disney's BoardWalk","161"
"2014-11-04","60+","Disney's Hollywood Studios","4685"
"2014-11-04","60+","Downtown Disney Resort Area","77"
"2014-11-04","60+","Epcot","7381"
"2014-11-04","60+","Epcot Resort Area","1467"
"2014-11-04","60+","Magic Kingdom Park","5423"
"2014-11-04","60+","Magic Kingdom Resort Area","8580"
"2014-11-05","60+","Destination","132"
"2014-11-05","60+","Disney Springs","1773"
"2014-11-05","60+","Disney's Animal Kingdom Theme Park","1984"
"2014-11-05","60+","Disney's Animal Kingdom Theme Park Resort Area","864"
"2014-11-05","60+","Disney's BoardWalk","131"
"2014-11-05","60+","Disney's Hollywood Studios","4496"
"2014-11-05","60+","Downtown Disney Resort Area","153"
"2014-11-05","60+","Epcot","8951"
"2014-11-05","60+","Epcot Resort Area","1510"
"2014-11-05","60+","Magic Kingdom Park","5105"
"2014-11-05","60+","Magic Kingdom Resort Area","7787"
"2014-11-06","60+","Destination","163"
"2014-11-06","60+","Disney Springs","2073"
"2014-11-06","60+","Disney's Animal Kingdom Theme Park","2214"
"2014-11-06","60+","Disney's Animal Kingdom Theme Park Resort Area","876"
"2014-11-06","60+","Disney's BoardWalk","171"
"2014-11-06","60+","Disney's Hollywood Studios","4196"
"2014-11-06","60+","Downtown Disney Resort Area","111"
"2014-11-06","60+","Epcot","7487"
"2014-11-06","60+","Epcot Resort Area","1368"
"2014-11-06","60+","Magic Kingdom Park","5476"
"2014-11-06","60+","Magic Kingdom Resort Area","8749"
"2014-11-07","60+","Destination","191"
"2014-11-07","60+","Disney Springs","1994"
"2014-11-07","60+","Disney's Animal Kingdom Theme Park","2134"
"2014-11-07","60+","Disney's Animal Kingdom Theme Park Resort Area","828"
"2014-11-07","60+","Disney's BoardWalk","146"
"2014-11-07","60+","Disney's Hollywood Studios","4698"
"2014-11-07","60+","Downtown Disney Resort Area","73"
"2014-11-07","60+","Epcot","6403"
"2014-11-07","60+","Epcot Resort Area","1474"
"2014-11-07","60+","Magic Kingdom Park","5038"
"2014-11-07","60+","Magic Kingdom Resort Area","8133"
"2014-11-08","60+","Destination","234"
"2014-11-08","60+","Disney Springs","2045"
"2014-11-08","60+","Disney's Animal Kingdom Theme Park","2258"
"2014-11-08","60+","Disney's Animal Kingdom Theme Park Resort Area","869"
"2014-11-08","60+","Disney's BoardWalk","116"
"2014-11-08","60+","Disney's Hollywood Studios","3558"
"2014-11-08","60+","Downtown Disney Resort Area","126"
"2014-11-08","60+","Epcot","5940"
"2014-11-08","60+","Epcot Resort Area","1403"
"2014-11-08","60+","Magic Kingdom Park","5586"
"2014-11-08","60+","Magic Kingdom Resort Area","8456"
"2014-11-09","60+","Destination","284"
"2014-11-09","60+","Disney Springs","2659"
"2014-11-09","60+","Disney's Animal Kingdom Theme Park","2347"
"2014-11-09","60+","Disney's Animal Kingdom Theme Park Resort Area","1226"
"2014-11-09","60+","Disney's BoardWalk","189"
"2014-11-09","60+","Disney's Hollywood Studios","5004"
"2014-11-09","60+","Downtown Disney Resort Area","122"
"2014-11-09","60+","Epcot","7328"
"2014-11-09","60+","Epcot Resort Area","1666"
"2014-11-09","60+","Magic Kingdom Park","6590"
"2014-11-09","60+","Magic Kingdom Resort Area","8369"
"2014-11-10","60+","Destination","263"
"2014-11-10","60+","Disney Springs","2010"
"2014-11-10","60+","Disney's Animal Kingdom Theme Park","2895"
"2014-11-10","60+","Disney's Animal Kingdom Theme Park Resort Area","964"
"2014-11-10","60+","Disney's BoardWalk","179"
"2014-11-10","60+","Disney's Hollywood Studios","6034"
"2014-11-10","60+","Downtown Disney Resort Area","132"
"2014-11-10","60+","Epcot","7394"
"2014-11-10","60+","Epcot Resort Area","1502"
"2014-11-10","60+","Magic Kingdom Park","5372"
"2014-11-10","60+","Magic Kingdom Resort Area","8048"
"2014-11-11","60+","Destination","239"
"2014-11-11","60+","Disney Springs","2189"
"2014-11-11","60+","Disney's Animal Kingdom Theme Park","2846"
"2014-11-11","60+","Disney's Animal Kingdom Theme Park Resort Area","1207"
"2014-11-11","60+","Disney's BoardWalk","129"
"2014-11-11","60+","Disney's Hollywood Studios","5495"
"2014-11-11","60+","Downtown Disney Resort Area","103"
"2014-11-11","60+","Epcot","7731"
"2014-11-11","60+","Epcot Resort Area","1581"
"2014-11-11","60+","Magic Kingdom Park","6027"
"2014-11-11","60+","Magic Kingdom Resort Area","8989"
"2014-11-12","60+","Destination","255"
"2014-11-12","60+","Disney Springs","2312"
"2014-11-12","60+","Disney's Animal Kingdom Theme Park","3055"
"2014-11-12","60+","Disney's Animal Kingdom Theme Park Resort Area","1206"
"2014-11-12","60+","Disney's BoardWalk","115"
"2014-11-12","60+","Disney's Hollywood Studios","5546"
"2014-11-12","60+","Downtown Disney Resort Area","142"
"2014-11-12","60+","Epcot","7811"
"2014-11-12","60+","Epcot Resort Area","1498"
"2014-11-12","60+","Magic Kingdom Park","5779"
"2014-11-12","60+","Magic Kingdom Resort Area","8694"
"2014-11-13","60+","Destination","268"
"2014-11-13","60+","Disney Springs","2287"
"2014-11-13","60+","Disney's Animal Kingdom Theme Park","2960"
"2014-11-13","60+","Disney's Animal Kingdom Theme Park Resort Area","1139"
"2014-11-13","60+","Disney's BoardWalk","113"
"2014-11-13","60+","Disney's Hollywood Studios","5238"
"2014-11-13","60+","Downtown Disney Resort Area","113"
"2014-11-13","60+","Epcot","7423"
"2014-11-13","60+","Epcot Resort Area","1473"
"2014-11-13","60+","Magic Kingdom Park","5336"
"2014-11-13","60+","Magic Kingdom Resort Area","9389"
"2014-11-14","60+","Destination","246"
"2014-11-14","60+","Disney Springs","2205"
"2014-11-14","60+","Disney's Animal Kingdom Theme Park","2992"
"2014-11-14","60+","Disney's Animal Kingdom Theme Park Resort Area","1121"
"2014-11-14","60+","Disney's BoardWalk","157"
"2014-11-14","60+","Disney's Hollywood Studios","5397"
"2014-11-14","60+","Downtown Disney Resort Area","127"
"2014-11-14","60+","Epcot","9596"
"2014-11-14","60+","Epcot Resort Area","1574"
"2014-11-14","60+","Magic Kingdom Park","4747"
"2014-11-14","60+","Magic Kingdom Resort Area","8264"
"2014-11-15","60+","Destination","340"
"2014-11-15","60+","Disney Springs","2636"
"2014-11-15","60+","Disney's Animal Kingdom Theme Park","2735"
"2014-11-15","60+","Disney's Animal Kingdom Theme Park Resort Area","1172"
"2014-11-15","60+","Disney's BoardWalk","94"
"2014-11-15","60+","Disney's Hollywood Studios","5035"
"2014-11-15","60+","Downtown Disney Resort Area","195"
"2014-11-15","60+","Epcot","7365"
"2014-11-15","60+","Epcot Resort Area","1588"
"2014-11-15","60+","Magic Kingdom Park","6474"
"2014-11-15","60+","Magic Kingdom Resort Area","9502"
"2014-11-16","60+","Destination","362"
"2014-11-16","60+","Disney Springs","2556"
"2014-11-16","60+","Disney's Animal Kingdom Theme Park","2760"
"2014-11-16","60+","Disney's Animal Kingdom Theme Park Resort Area","1049"
"2014-11-16","60+","Disney's BoardWalk","106"
"2014-11-16","60+","Disney's Hollywood Studios","5763"
"2014-11-16","60+","Downtown Disney Resort Area","177"
"2014-11-16","60+","Epcot","7739"
"2014-11-16","60+","Epcot Resort Area","1644"
"2014-11-16","60+","Magic Kingdom Park","5190"
"2014-11-16","60+","Magic Kingdom Resort Area","8351"
"2014-11-17","60+","Destination","247"
"2014-11-17","60+","Disney Springs","2581"
"2014-11-17","60+","Disney's Animal Kingdom Theme Park","2861"
"2014-11-17","60+","Disney's Animal Kingdom Theme Park Resort Area","1176"
"2014-11-17","60+","Disney's BoardWalk","136"
"2014-11-17","60+","Disney's Hollywood Studios","5860"
"2014-11-17","60+","Downtown Disney Resort Area","131"
"2014-11-17","60+","Epcot","8453"
"2014-11-17","60+","Epcot Resort Area","1690"
"2014-11-17","60+","Magic Kingdom Park","4196"
