"dining_usg_dt","booking_window_range","park_area_nm","nb_dining_gst"
"2014-10-18","0+","Downtown Disney Resort Area","462"
"2014-10-18","0+","Epcot","14984"
"2014-10-18","0+","Epcot Resort Area","3181"
"2014-10-18","0+","Four Seasons Resort Orlando at Walt Disney World Resort","51"
"2014-10-18","0+","Magic Kingdom Park","9542"
"2014-10-18","0+","Magic Kingdom Resort Area","15367"
"2014-10-19","0+","Destination","1213"
"2014-10-19","0+","Disney Springs","5484"
"2014-10-19","0+","Disney's Animal Kingdom Theme Park","4190"
"2014-10-19","0+","Disney's Animal Kingdom Theme Park Resort Area","2620"
"2014-10-19","0+","Disney's BoardWalk","397"
"2014-10-19","0+","Disney's Hollywood Studios","7962"
"2014-10-19","0+","Downtown Disney Resort Area","475"
"2014-10-19","0+","Epcot","12285"
"2014-10-19","0+","Epcot Resort Area","2895"
"2014-10-19","0+","Magic Kingdom Park","7313"
"2014-10-19","0+","Magic Kingdom Resort Area","13920"
"2014-10-20","0+","Destination","795"
"2014-10-20","0+","Disney Springs","4338"
"2014-10-20","0+","Disney's Animal Kingdom Theme Park","4307"
"2014-10-20","0+","Disney's Animal Kingdom Theme Park Resort Area","2089"
"2014-10-20","0+","Disney's BoardWalk","292"
"2014-10-20","0+","Disney's Hollywood Studios","6619"
"2014-10-20","0+","Downtown Disney Resort Area","401"
"2014-10-20","0+","Epcot","12054"
"2014-10-20","0+","Epcot Resort Area","2535"
"2014-10-20","0+","Four Seasons Resort Orlando at Walt Disney World Resort","7"
"2014-10-20","0+","Magic Kingdom Park","9327"
"2014-10-20","0+","Magic Kingdom Resort Area","12956"
"2014-10-21","0+","Destination","822"
"2014-10-21","0+","Disney Springs","4608"
"2014-10-21","0+","Disney's Animal Kingdom Theme Park","3824"
"2014-10-21","0+","Disney's Animal Kingdom Theme Park Resort Area","2030"
"2014-10-21","0+","Disney's BoardWalk","344"
"2014-10-21","0+","Disney's Hollywood Studios","6476"
"2014-10-21","0+","Downtown Disney Resort Area","409"
"2014-10-21","0+","Epcot","11612"
"2014-10-21","0+","Epcot Resort Area","2453"
"2014-10-21","0+","Magic Kingdom Park","7044"
"2014-10-21","0+","Magic Kingdom Resort Area","12969"
"2014-10-22","0+","Destination","643"
"2014-10-22","0+","Disney Springs","4563"
"2014-10-22","0+","Disney's Animal Kingdom Theme Park","3368"
"2014-10-22","0+","Disney's Animal Kingdom Theme Park Resort Area","2099"
"2014-10-22","0+","Disney's BoardWalk","362"
"2014-10-22","0+","Disney's Hollywood Studios","6544"
"2014-10-22","0+","Downtown Disney Resort Area","343"
"2014-10-22","0+","Epcot","13369"
"2014-10-22","0+","Epcot Resort Area","2727"
"2014-10-22","0+","Four Seasons Resort Orlando at Walt Disney World Resort","7"
"2014-10-22","0+","Magic Kingdom Park","8930"
"2014-10-22","0+","Magic Kingdom Resort Area","12936"
"2014-10-23","0+","Destination","950"
"2014-10-23","0+","Disney Springs","5426"
"2014-10-23","0+","Disney's Animal Kingdom Theme Park","4428"
"2014-10-23","0+","Disney's Animal Kingdom Theme Park Resort Area","2246"
"2014-10-23","0+","Disney's BoardWalk","394"
"2014-10-23","0+","Disney's Hollywood Studios","6424"
"2014-10-23","0+","Downtown Disney Resort Area","405"
"2014-10-23","0+","Epcot","12967"
"2014-10-23","0+","Epcot Resort Area","2777"
"2014-10-23","0+","Four Seasons Resort Orlando at Walt Disney World Resort","33"
"2014-10-23","0+","Magic Kingdom Park","7213"
"2014-10-23","0+","Magic Kingdom Resort Area","13556"
"2014-10-24","0+","Destination","944"
"2014-10-24","0+","Disney Springs","5952"
"2014-10-24","0+","Disney's Animal Kingdom Theme Park","4651"
"2014-10-24","0+","Disney's Animal Kingdom Theme Park Resort Area","2516"
"2014-10-24","0+","Disney's BoardWalk","422"
"2014-10-24","0+","Disney's Hollywood Studios","6477"
"2014-10-24","0+","Downtown Disney Resort Area","415"
"2014-10-24","0+","Epcot","14839"
"2014-10-24","0+","Epcot Resort Area","3005"
"2014-10-24","0+","Four Seasons Resort Orlando at Walt Disney World Resort","1"
"2014-10-24","0+","Magic Kingdom Park","7370"
"2014-10-24","0+","Magic Kingdom Resort Area","14127"
"2014-10-25","0+","Destination","1278"
"2014-10-25","0+","Disney Springs","5845"
"2014-10-25","0+","Disney's Animal Kingdom Theme Park","4186"
"2014-10-25","0+","Disney's Animal Kingdom Theme Park Resort Area","2491"
"2014-10-25","0+","Disney's BoardWalk","367"
"2014-10-25","0+","Disney's Hollywood Studios","7477"
"2014-10-25","0+","Downtown Disney Resort Area","436"
"2014-10-25","0+","Epcot","15116"
"2014-10-25","0+","Epcot Resort Area","2971"
"2014-10-25","0+","Four Seasons Resort Orlando at Walt Disney World Resort","92"
"2014-10-25","0+","Magic Kingdom Park","9358"
"2014-10-25","0+","Magic Kingdom Resort Area","15425"
"2014-10-26","0+","Destination","1191"
"2014-10-26","0+","Disney Springs","5532"
"2014-10-26","0+","Disney's Animal Kingdom Theme Park","4176"
"2014-10-26","0+","Disney's Animal Kingdom Theme Park Resort Area","2740"
"2014-10-26","0+","Disney's BoardWalk","476"
"2014-10-26","0+","Disney's Hollywood Studios","7643"
"2014-10-26","0+","Downtown Disney Resort Area","476"
"2014-10-26","0+","Epcot","12108"
"2014-10-26","0+","Epcot Resort Area","2794"
"2014-10-26","0+","Four Seasons Resort Orlando at Walt Disney World Resort","17"
"2014-10-26","0+","Magic Kingdom Park","7421"
"2014-10-26","0+","Magic Kingdom Resort Area","14162"
"2014-10-27","0+","Destination","667"
"2014-10-27","0+","Disney Springs","4556"
"2014-10-27","0+","Disney's Animal Kingdom Theme Park","3624"
"2014-10-27","0+","Disney's Animal Kingdom Theme Park Resort Area","2220"
"2014-10-27","0+","Disney's BoardWalk","337"
"2014-10-27","0+","Disney's Hollywood Studios","6445"
"2014-10-27","0+","Downtown Disney Resort Area","363"
"2014-10-27","0+","Epcot","12334"
"2014-10-27","0+","Epcot Resort Area","2651"
"2014-10-27","0+","Magic Kingdom Park","9515"
"2014-10-27","0+","Magic Kingdom Resort Area","12438"
"2014-10-28","0+","Destination","627"
"2014-10-28","0+","Disney Springs","4803"
"2014-10-28","0+","Disney's Animal Kingdom Theme Park","3662"
"2014-10-28","0+","Disney's Animal Kingdom Theme Park Resort Area","2103"
"2014-10-28","0+","Disney's BoardWalk","300"
"2014-10-28","0+","Disney's Hollywood Studios","6475"
"2014-10-28","0+","Downtown Disney Resort Area","290"
"2014-10-28","0+","Epcot","11970"
"2014-10-28","0+","Epcot Resort Area","2383"
"2014-10-28","0+","Four Seasons Resort Orlando at Walt Disney World Resort","1"
"2014-10-28","0+","Magic Kingdom Park","7069"
"2014-10-28","0+","Magic Kingdom Resort Area","13047"
"2014-10-29","0+","Destination","733"
"2014-10-29","0+","Disney Springs","4841"
"2014-10-29","0+","Disney's Animal Kingdom Theme Park","3477"
"2014-10-29","0+","Disney's Animal Kingdom Theme Park Resort Area","2106"
"2014-10-29","0+","Disney's BoardWalk","352"
"2014-10-29","0+","Disney's Hollywood Studios","6256"
"2014-10-29","0+","Downtown Disney Resort Area","314"
"2014-10-29","0+","Epcot","13999"
"2014-10-29","0+","Epcot Resort Area","2573"
"2014-10-29","0+","Four Seasons Resort Orlando at Walt Disney World Resort","10"
"2014-10-29","0+","Magic Kingdom Park","8813"
"2014-10-29","0+","Magic Kingdom Resort Area","13010"
"2014-10-30","0+","Destination","848"
"2014-10-30","0+","Disney Springs","5702"
"2014-10-30","0+","Disney's Animal Kingdom Theme Park","3434"
"2014-10-30","0+","Disney's Animal Kingdom Theme Park Resort Area","2162"
"2014-10-30","0+","Disney's BoardWalk","377"
"2014-10-30","0+","Disney's Hollywood Studios","6380"
"2014-10-30","0+","Downtown Disney Resort Area","383"
"2014-10-30","0+","Epcot","13409"
"2014-10-30","0+","Epcot Resort Area","2756"
"2014-10-30","0+","Four Seasons Resort Orlando at Walt Disney World Resort","54"
"2014-10-30","0+","Magic Kingdom Park","7295"
"2014-10-30","0+","Magic Kingdom Resort Area","14242"
"2014-10-31","0+","Destination","978"
"2014-10-31","0+","Disney Springs","6107"
"2014-10-31","0+","Disney's Animal Kingdom Theme Park","3541"
"2014-10-31","0+","Disney's Animal Kingdom Theme Park Resort Area","2330"
"2014-10-31","0+","Disney's BoardWalk","337"
"2014-10-31","0+","Disney's Hollywood Studios","6296"
"2014-10-31","0+","Downtown Disney Resort Area","433"
"2014-10-31","0+","Epcot","13222"
"2014-10-31","0+","Epcot Resort Area","2902"
"2014-10-31","0+","Magic Kingdom Park","7736"
"2014-10-31","0+","Magic Kingdom Resort Area","15109"
"2014-11-01","0+","Destination","1271"
"2014-11-01","0+","Disney Springs","6810"
"2014-11-01","0+","Disney's Animal Kingdom Theme Park","3897"
"2014-11-01","0+","Disney's Animal Kingdom Theme Park Resort Area","2713"
"2014-11-01","0+","Disney's BoardWalk","463"
"2014-11-01","0+","Disney's Hollywood Studios","7421"
"2014-11-01","0+","Downtown Disney Resort Area","461"
"2014-11-01","0+","Epcot","15979"
"2014-11-01","0+","Epcot Resort Area","3109"
"2014-11-01","0+","Four Seasons Resort Orlando at Walt Disney World Resort","80"
"2014-11-01","0+","Magic Kingdom Park","9466"
"2014-11-01","0+","Magic Kingdom Resort Area","15720"
"2014-11-02","0+","Destination","1188"
"2014-11-02","0+","Disney Springs","6058"
"2014-11-02","0+","Disney's Animal Kingdom Theme Park","4500"
"2014-11-02","0+","Disney's Animal Kingdom Theme Park Resort Area","2713"
"2014-11-02","0+","Disney's BoardWalk","527"
"2014-11-02","0+","Disney's Hollywood Studios","7138"
"2014-11-02","0+","Downtown Disney Resort Area","460"
"2014-11-02","0+","Epcot","14046"
"2014-11-02","0+","Epcot Resort Area","3143"
"2014-11-02","0+","Four Seasons Resort Orlando at Walt Disney World Resort","37"
"2014-11-02","0+","Magic Kingdom Park","9308"
"2014-11-02","0+","Magic Kingdom Resort Area","14901"
"2014-11-03","0+","Destination","823"
"2014-11-03","0+","Disney Springs","4995"
"2014-11-03","0+","Disney's Animal Kingdom Theme Park","4088"
"2014-11-03","0+","Disney's Animal Kingdom Theme Park Resort Area","2447"
"2014-11-03","0+","Disney's BoardWalk","409"
"2014-11-03","0+","Disney's Hollywood Studios","7068"
"2014-11-03","0+","Downtown Disney Resort Area","345"
"2014-11-03","0+","Epcot","14466"
"2014-11-03","0+","Epcot Resort Area","2965"
"2014-11-03","0+","Four Seasons Resort Orlando at Walt Disney World Resort","5"
"2014-11-03","0+","Magic Kingdom Park","9100"
"2014-11-03","0+","Magic Kingdom Resort Area","13771"
"2014-11-04","0+","Destination","650"
"2014-11-04","0+","Disney Springs","4917"
"2014-11-04","0+","Disney's Animal Kingdom Theme Park","3938"
"2014-11-04","0+","Disney's Animal Kingdom Theme Park Resort Area","2195"
"2014-11-04","0+","Disney's BoardWalk","385"
"2014-11-04","0+","Disney's Hollywood Studios","6940"
"2014-11-04","0+","Downtown Disney Resort Area","367"
"2014-11-04","0+","Epcot","13298"
"2014-11-04","0+","Epcot Resort Area","3033"
"2014-11-04","0+","Four Seasons Resort Orlando at Walt Disney World Resort","12"
"2014-11-04","0+","Magic Kingdom Park","9067"
"2014-11-04","0+","Magic Kingdom Resort Area","14385"
"2014-11-05","0+","Destination","630"
"2014-11-05","0+","Disney Springs","4885"
"2014-11-05","0+","Disney's Animal Kingdom Theme Park","3662"
"2014-11-05","0+","Disney's Animal Kingdom Theme Park Resort Area","2111"
"2014-11-05","0+","Disney's BoardWalk","351"
"2014-11-05","0+","Disney's Hollywood Studios","6482"
"2014-11-05","0+","Downtown Disney Resort Area","438"
"2014-11-05","0+","Epcot","15188"
"2014-11-05","0+","Epcot Resort Area","2943"
"2014-11-05","0+","Magic Kingdom Park","8718"
"2014-11-05","0+","Magic Kingdom Resort Area","13787"
"2014-11-06","0+","Destination","898"
"2014-11-06","0+","Disney Springs","5299"
"2014-11-06","0+","Disney's Animal Kingdom Theme Park","3851"
"2014-11-06","0+","Disney's Animal Kingdom Theme Park Resort Area","2257"
"2014-11-06","0+","Disney's BoardWalk","411"
"2014-11-06","0+","Disney's Hollywood Studios","6343"
"2014-11-06","0+","Downtown Disney Resort Area","404"
"2014-11-06","0+","Epcot","13812"
"2014-11-06","0+","Epcot Resort Area","2908"
"2014-11-06","0+","Four Seasons Resort Orlando at Walt Disney World Resort","65"
"2014-11-06","0+","Magic Kingdom Park","9085"
"2014-11-06","0+","Magic Kingdom Resort Area","15116"
"2014-11-07","0+","Destination","941"
"2014-11-07","0+","Disney Springs","6093"
"2014-11-07","0+","Disney's Animal Kingdom Theme Park","3982"
"2014-11-07","0+","Disney's Animal Kingdom Theme Park Resort Area","2379"
"2014-11-07","0+","Disney's BoardWalk","396"
"2014-11-07","0+","Disney's Hollywood Studios","7562"
"2014-11-07","0+","Downtown Disney Resort Area","358"
"2014-11-07","0+","Epcot","14106"
"2014-11-07","0+","Epcot Resort Area","3327"
"2014-11-07","0+","Four Seasons Resort Orlando at Walt Disney World Resort","6"
"2014-11-07","0+","Magic Kingdom Park","7652"
"2014-11-07","0+","Magic Kingdom Resort Area","15134"
"2014-11-08","0+","Destination","1280"
"2014-11-08","0+","Disney Springs","6372"
"2014-11-08","0+","Disney's Animal Kingdom Theme Park","4092"
"2014-11-08","0+","Disney's Animal Kingdom Theme Park Resort Area","2833"
"2014-11-08","0+","Disney's BoardWalk","469"
"2014-11-08","0+","Disney's Hollywood Studios","6420"
"2014-11-08","0+","Downtown Disney Resort Area","363"
"2014-11-08","0+","Epcot","13877"
"2014-11-08","0+","Epcot Resort Area","3245"
"2014-11-08","0+","Four Seasons Resort Orlando at Walt Disney World Resort","90"
"2014-11-08","0+","Magic Kingdom Park","9750"
"2014-11-08","0+","Magic Kingdom Resort Area","16555"
"2014-11-09","0+","Destination","1246"
"2014-11-09","0+","Disney Springs","6352"
"2014-11-09","0+","Disney's Animal Kingdom Theme Park","4325"
"2014-11-09","0+","Disney's Animal Kingdom Theme Park Resort Area","2992"
"2014-11-09","0+","Disney's BoardWalk","492"
"2014-11-09","0+","Disney's Hollywood Studios","7829"
"2014-11-09","0+","Downtown Disney Resort Area","467"
"2014-11-09","0+","Epcot","14390"
"2014-11-09","0+","Epcot Resort Area","3295"
"2014-11-09","0+","Four Seasons Resort Orlando at Walt Disney World Resort","9"
"2014-11-09","0+","Magic Kingdom Park","9633"
"2014-11-09","0+","Magic Kingdom Resort Area","15144"
"2014-11-10","0+","Destination","1082"
"2014-11-10","0+","Disney Springs","5249"
"2014-11-10","0+","Disney's Animal Kingdom Theme Park","3918"
"2014-11-10","0+","Disney's Animal Kingdom Theme Park Resort Area","2493"
"2014-11-10","0+","Disney's BoardWalk","417"
"2014-11-10","0+","Disney's Hollywood Studios","8000"
"2014-11-10","0+","Downtown Disney Resort Area","421"
"2014-11-10","0+","Epcot","13496"
"2014-11-10","0+","Epcot Resort Area","3047"
"2014-11-10","0+","Magic Kingdom Park","7367"
"2014-11-10","0+","Magic Kingdom Resort Area","14064"
"2014-11-11","0+","Destination","984"
"2014-11-11","0+","Disney Springs","5204"
"2014-11-11","0+","Disney's Animal Kingdom Theme Park","3956"
"2014-11-11","0+","Disney's Animal Kingdom Theme Park Resort Area","2374"
"2014-11-11","0+","Disney's BoardWalk","375"
"2014-11-11","0+","Disney's Hollywood Studios","7728"
"2014-11-11","0+","Downtown Disney Resort Area","352"
"2014-11-11","0+","Epcot","13032"
"2014-11-11","0+","Epcot Resort Area","2928"
"2014-11-11","0+","Four Seasons Resort Orlando at Walt Disney World Resort","14"
"2014-11-11","0+","Magic Kingdom Park","8969"
"2014-11-11","0+","Magic Kingdom Resort Area","15044"
"2014-11-12","0+","Destination","819"
"2014-11-12","0+","Disney Springs","5200"
"2014-11-12","0+","Disney's Animal Kingdom Theme Park","3976"
"2014-11-12","0+","Disney's Animal Kingdom Theme Park Resort Area","2310"
"2014-11-12","0+","Disney's BoardWalk","320"
"2014-11-12","0+","Disney's Hollywood Studios","7522"
"2014-11-12","0+","Downtown Disney Resort Area","413"
"2014-11-12","0+","Epcot","13048"
"2014-11-12","0+","Epcot Resort Area","2762"
"2014-11-12","0+","Four Seasons Resort Orlando at Walt Disney World Resort","17"
"2014-11-12","0+","Magic Kingdom Park","8702"
"2014-11-12","0+","Magic Kingdom Resort Area","14167"
"2014-11-13","0+","Destination","961"
"2014-11-13","0+","Disney Springs","5588"
"2014-11-13","0+","Disney's Animal Kingdom Theme Park","4166"
"2014-11-13","0+","Disney's Animal Kingdom Theme Park Resort Area","2191"
"2014-11-13","0+","Disney's BoardWalk","290"
"2014-11-13","0+","Disney's Hollywood Studios","7276"
"2014-11-13","0+","Downtown Disney Resort Area","434"
"2014-11-13","0+","Epcot","12742"
"2014-11-13","0+","Epcot Resort Area","2749"
"2014-11-13","0+","Four Seasons Resort Orlando at Walt Disney World Resort","41"
"2014-11-13","0+","Magic Kingdom Park","6859"
"2014-11-13","0+","Magic Kingdom Resort Area","15632"
"2014-11-14","0+","Destination","963"
"2014-11-14","0+","Disney Springs","6048"
