"FAC_ID","ENTRPRS_FAC_ID","FAC_NM","fac_short_nm","FAC_STS_NM","rsrt_ctgy_nm","FAC_CTGY_TYP_NM","DESTINATION_FAC_ID","GNRL_FAC_TYP_NM"
"285","80010384","Disney's Grand Floridian Resort & Spa","Grand Floridian Resort","Operating                                                                       ","Deluxe                                                                          ","Resort","105894","Walt Disney World Owned & Operated"
"896","273239","Disney's Animal Kingdom Villas - Kidani Village","Kidani Village","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105894","Walt Disney World Owned & Operated"
"169","80010387","Disney's Old Key West Resort","Old Key West Resort","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105894","Walt Disney World Owned & Operated"
"10043","334394","Disney's Paradise Pier Hotel","Paradise Pier","Operating                                                                       ","Deluxe                                                                          ","Resort","105461","Disneyland Owned and Operated"
"317","80010388","Disney's Polynesian Village Resort","Polynesian Village Resort","Operating                                                                       ","Deluxe                                                                          ","Resort","105894","Walt Disney World Owned & Operated"
"115251","17797842","Disney's Polynesian Villas & Bungalows","Polynesian Villas & Bungalows","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105894","Walt Disney World Owned & Operated"
"284","80010403","Disney's Pop Century Resort","Pop Century Resort","Operating                                                                       ","Value                                                                           ","Resort","105894","Walt Disney World Owned & Operated"
"488","80010398","Disney's Port Orleans Resort - French Quarter","Port Orleans French Quarter","Operating                                                                       ","Moderate                                                                        ","Resort","105894","Walt Disney World Owned & Operated"
"487","80010397","Disney's Port Orleans Resort - Riverside","Port Orleans Riverside","Operating                                                                       ","Moderate                                                                        ","Resort","105894","Walt Disney World Owned & Operated"
"1473","80010383","Disney's Saratoga Springs Resort & Spa","Saratoga Springs Resort","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105894","Walt Disney World Owned & Operated"
"112800","16491822","The Villas at Disney's Grand Floridian Resort & Spa","Villas at Grand Floridian","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105894","Walt Disney World Owned & Operated"
"228","80010393","Boulder Ridge Villas at Disney's Wilderness Lodge","Villas at Wilderness Lodge","Operating                                                                       ","Deluxe Villa                                                                    ","Resort","105894","Walt Disney World Owned & Operated"
"117","80010394","Disney's Wilderness Lodge","Wilderness Lodge","Operating                                                                       ","Deluxe                                                                          ","Resort","105894","Walt Disney World Owned & Operated"
"211","80010390","Disney's Yacht Club Resort","Yacht Club Resort","Operating                                                                       ","Deluxe                                                                          ","Resort","105894","Walt Disney World Owned & Operated"
